,YLabel,Max,Min,Mean,SD,Variance,RMS,ZeroXings,TPeaks,TMax1,TMax2,TMax3,FPeaks,FMax1,FMax2,FMax3,PSD,RelativeAlpha,RelativeBeta,RelativeTheta,RelativeDelta
33,5,102,-103,-12.887640449438202,44.379729708947785,1969.5604090392628,46.21311161773527,16,19,62.8152426382181,70.4810021499495,93.47864248090409,15,19.569118320904916,24.593228690151662,26.521267701550634,2522.07,0.4,0.22,0.05,0.29
34,5,77,-73,7.544943820224719,35.01509629884043,1226.0569688170692,35.81875411104378,7,20,60.07284910368884,60.513958542958235,72.79739548337338,11,7.130951339787441,12.165085966699264,37.75152396995382,878.28,0.08,0.17,0.26,0.53
35,3,338,-144,33.28089887640449,104.27642485823193,10873.57278121449,109.45862693838231,24,20,153.7695418865033,322.542996310831,278.80298859829384,13,28.595665186617705,30.23205438250819,93.14319763776336,11773.32,0.14,0.09,0.11,0.48
36,4,116,-86,14.230337078651685,40.128834387813725,1610.3233493245812,42.577292571236015,17,19,75.06319886863164,93.76808234352481,94.50129139401912,14,16.158402178700882,16.33802999392746,23.999324917074645,1473.02,0.07,0.3,0.17,0.29
37,3,78,-140,-4.387640449438202,42.023017556392595,1765.9340045448805,42.2514543330573,10,12,49.46214754576253,72.87909851238643,65.8539139429289,10,15.512570445026034,24.743208343453492,34.11920640957509,796.32,0.11,0.03,0.35,0.48
38,5,93,-81,7.033707865168539,41.954349036847994,1760.167403105668,42.53986894006847,19,17,74.92784278530597,84.42076116581144,87.21110886969564,13,20.29443985610739,21.11776302082737,23.582773827646953,1615.82,0.27,0.25,0.28,0.18
39,3,88,-104,0.1404494382022472,45.633585155891794,2082.4240941800276,45.63380129054251,9,13,64.88936082882353,76.84385288396278,84.5737002211381,11,18.293197911843087,28.125132367065046,43.60760452479987,2380.81,0.04,0.03,0.23,0.44
40,5,101,-103,0.5786516853932584,40.07180345192754,1605.7494318899123,40.07598120648977,19,16,67.71848382296459,72.01974718789084,72.02696078585888,15,15.715075491529712,16.00380860859619,23.149195766486866,968.29,0.27,0.16,0.11,0.37
41,2,64,-52,11.196629213483146,25.094665485493316,629.7422358288094,27.479205621215357,13,16,46.46566159524805,48.19960086671816,59.51739367028976,11,9.877468783179598,12.307013845677998,24.47508446197801,797.84,0.14,0.03,0.08,0.5
42,1,1178,-1404,-4.0,533.3327691944583,284443.84269662923,533.3477689993924,25,16,817.3860029415208,858.1655278332224,1027.192729278626,15,202.30567603730108,219.88237031969274,380.8180102735029,291999.5,0.04,0.81,0.1,0.06
43,4,146,-216,-20.134831460674157,81.52413181180299,6646.184067668227,83.97377867893034,20,14,110.84648920825185,124.32379574306167,133.19331836172412,13,19.819889081953615,64.08357796288304,27.141056841678065,3858.54,0.54,0.17,0.07,0.08
44,3,43,-71,-27.578651685393258,22.117332528631195,489.17639818204765,35.35192253564567,4,16,1.282428853779575,1.80342471579534,40.235173298225355,11,6.521198810073986,8.440908793993852,14.969859448507474,486.49,0.06,0.05,0.11,0.61
45,2,172,-82,36.58426966292135,52.113814293303705,2715.8496401969455,63.67305887866777,11,11,109.8786787375662,160.4266480023869,126.46334579188235,10,9.64769923361584,43.66463314492959,27.36769712170923,2048.46,0.5,0.1,0.25,0.13
46,4,131,-144,4.803370786516854,49.49123846972322,2449.3826852670118,49.723787629059146,21,15,94.74842819368027,114.14113060404596,117.50152607630748,13,22.08365692705498,23.2674431164455,40.09017140997329,3488.99,0.54,0.1,0.08,0.22
47,2,36,-64,-7.382022471910112,23.09214838982987,533.2473172579222,24.24338204611122,8,12,24.07155992261253,27.017696331731877,34.35672929800082,12,8.433254562740377,13.172800169608466,23.29623460971685,446.55,0.06,0.06,0.38,0.24
48,5,103,-132,-5.803370786516854,44.13743334569494,1948.1130223456632,44.517323985516704,26,17,71.10983559873227,71.65350009633713,92.25529108223184,15,19.43813136981658,30.644562678451067,26.763181104724236,2205.34,0.37,0.22,0.17,0.18
49,3,144,-120,-7.213483146067416,53.27582918649076,2838.313975508141,53.76195973554853,13,15,65.47179444775352,65.9504783369003,131.87466757924116,12,21.969607206984357,23.964337764210814,43.361217698556906,2873.89,0.05,0.06,0.19,0.7
50,5,78,-98,-16.174157303370787,30.48407220168802,929.2786579977281,34.5091585303367,21,19,15.059037653462983,28.977255901791203,67.81385509367146,10,8.58957065476238,8.639597233229049,10.550079899717167,1279.66,0.16,0.13,0.07,0.47
51,3,221,-158,-8.320224719101123,83.39127844863523,6954.105321297814,83.8053188089763,18,19,97.7824995906021,185.9163694441711,216.79421771974796,12,15.58889928393319,26.714789076181642,67.89209616699303,8450.14,0.17,0.07,0.11,0.49
52,1,801,-1611,113.48876404494382,446.3151911751974,199197.249873753,460.5181314977753,11,14,568.5488296318651,667.1200259164241,576.5573288994667,16,198.28489898644955,220.07994725516912,245.14322211723703,299086.91,0.17,0.39,0.14,0.24
53,3,103,-191,-36.325842696629216,73.89998939971932,5461.208433278627,82.3454630255904,3,11,44.82915068415771,61.666789426032175,100.35133366476938,12,19.01397229243811,22.434827345654224,95.36227182572104,3857.08,0.02,0.0,0.07,0.43
54,3,125,-135,13.606741573033707,45.86291688894665,2103.407145562428,47.83879766254324,5,12,60.68951229016511,77.3429345016776,111.67913634010621,10,13.249649073608008,29.82194758446509,28.690164250438546,1569.96,0.05,0.05,0.12,0.66
55,5,174,-85,40.38202247191011,58.13535264682138,3379.719227370282,70.7843695055069,10,20,125.44828502603812,155.73919994659616,138.66681893783604,12,13.684889038469096,24.661601615979627,25.30158560420199,3352.95,0.09,0.12,0.11,0.38
56,3,115,-103,-10.258426966292134,46.80068377726918,2190.3040020199464,47.91178691974133,16,15,81.38791912897763,100.07506483952048,89.60919590466224,12,18.332068810863824,18.739316862020445,39.5815185513398,1933.02,0.1,0.23,0.04,0.5
57,5,72,-43,10.713483146067416,24.956635158400086,622.8336384294913,27.159019856220176,17,16,57.367851870342804,57.90569965906536,70.28270202239463,10,9.31311826070985,11.758174114262784,17.649812484491026,512.66,0.14,0.18,0.37,0.2
58,1,169,-541,-27.55056179775281,132.81553578037554,17639.966544628212,135.64291356351794,20,14,130.0496401928308,138.84788979247787,146.30622258343706,19,44.046546267526004,63.77146565259162,77.68912834957858,35286.43,0.05,0.25,0.25,0.35
59,3,52,-64,-7.646067415730337,26.48538946893735,701.4758553212974,27.566976661345926,11,15,33.21049859579797,48.25552011121644,48.34854522726886,12,12.264934352532395,12.355332152241786,16.953162268246565,765.36,0.13,0.11,0.18,0.52
60,3,59,-125,-40.96629213483146,40.87991442145726,1671.1674031056689,57.874039900304375,5,11,15.38063600325827,28.10550059665893,52.58691555555407,18,19.091800969376653,26.25570163398443,27.493196935123372,1328.24,0.03,0.03,0.61,0.22
61,3,102,-63,18.623595505617978,41.57339394013382,1728.3470837015552,45.5542028056515,7,10,91.20802238565699,92.5271106025018,98.8562594639775,12,14.479632953948236,16.482236369161647,50.70763201682363,1476.56,0.03,0.01,0.11,0.45
62,4,95,-186,-57.41011235955056,58.25732638488883,3393.9160775154637,81.79142423660127,16,14,31.389556669666984,54.17808398048539,80.9615028890237,14,24.5760826247893,35.48128494120335,37.26500764527145,3450.0,0.15,0.61,0.13,0.06
63,5,71,-72,-1.4606741573033708,25.3736376419693,643.8214871859614,25.41564589342115,20,20,29.526225053706632,37.369296347297606,65.7968716182248,9,8.414307634394428,10.79426512488835,18.360652809973367,904.54,0.19,0.16,0.27,0.38
64,5,-27,-123,-72.29213483146067,23.19831563393091,538.1618482514833,75.923083490738,0,20,-34.22308103274678,-29.98665596328987,-29.13952808816766,12,9.284330152462388,12.334776058031094,14.42488732295763,503.69,0.09,0.23,0.2,0.45
65,1,336,-355,-19.96067415730337,157.14386746765393,24694.19508269158,158.40651374077274,11,8,203.30269398012376,248.39050381581683,317.07170313414724,11,22.020366082989863,89.63601916715118,187.477260012419,23840.86,0.18,0.05,0.69,0.02
66,4,166,-117,-4.449438202247191,53.4431360589853,2856.168791819215,53.62803643743477,20,17,83.05245772229054,147.75796413017528,99.87436778770149,12,23.331961550643886,27.954123279544792,34.48831833962028,3350.42,0.34,0.28,0.18,0.14
67,2,68,-282,-53.03932584269663,100.54879537434006,10110.060251230909,113.68038677396665,7,10,44.39338765992994,48.02363460257814,65.68440838324086,12,16.146317396950575,22.30686845661559,115.79413646345496,6244.21,0.03,0.06,0.06,0.42
68,1,835,-305,9.97191011235955,260.5694591297739,67896.4430311829,260.7602002270897,7,14,491.9960944975928,742.1993029530162,502.97144965480413,19,74.25939637023178,77.3952524033397,249.4527975794694,94747.26,0.05,0.14,0.04,0.52
69,3,109,-282,-17.46067415730337,88.16016529937389,7772.214745612928,89.87263147165798,5,7,61.91766230267834,95.64644763062506,106.01825802119848,15,21.25685601968558,49.58705630413081,83.93881416468247,4608.96,0.02,0.0,0.12,0.54
70,4,155,-254,-50.747191011235955,82.0477260260281,6731.829346042169,96.47334731195468,14,10,88.78965092469296,98.65427116349028,134.35847532050286,8,16.847298892187396,18.534457380196276,71.00399420513261,7974.1,0.77,0.08,0.09,0.04
71,3,68,-211,-71.14044943820225,59.689340359958706,3562.8173526069954,92.8643144532732,10,16,21.234070756236186,32.94168054975967,57.91649656863137,12,20.807402292700527,20.904309009735766,43.510232712633965,2606.67,0.11,0.36,0.04,0.33
72,4,136,-146,2.9719101123595504,52.655487221691516,2772.6003345537183,52.739288810806535,28,21,95.3253529621264,97.26312557531386,115.97362463317944,13,24.959308675681644,30.378642023626956,32.8310509875371,3526.93,0.06,0.61,0.07,0.21
73,4,175,-254,-6.258426966292135,72.0274648131753,5187.955687413207,72.29884919904063,23,15,110.69054032095626,162.67917711416754,115.97395962968963,16,22.20983164528235,49.08560146998734,51.688493806579686,4594.66,0.46,0.23,0.02,0.12
74,3,86,-21,23.685393258426966,21.574847770170297,465.4740563060222,32.03860031450125,7,14,56.750492410424975,62.33840673132117,81.8994555090178,9,6.2367818610686285,10.214051169108192,15.356685024923287,378.05,0.15,0.13,0.54,0.09
75,3,95,-123,-4.842696629213483,56.419655288210954,3183.17750284055,56.62710670238367,8,8,50.05007417775293,92.58473075105181,93.43755664400885,13,21.763633610237523,39.80106464459132,49.753722309623,2542.98,0.06,0.01,0.11,0.51
76,4,242,-238,-14.634831460674157,120.80630945752326,14594.164404746873,121.68953404721876,21,13,168.9642255784028,227.07790491889202,182.76135745977797,15,33.52367477063264,38.91281258493564,107.3994623741655,11582.06,0.56,0.2,0.17,0.11
77,4,142,-115,7.056179775280899,48.075165760858,2311.2215629339735,48.590238072632,32,17,97.51945742380137,101.96687225479596,120.81606208448548,17,16.814777051181018,17.501447150749822,34.530482043990204,1516.25,0.16,0.54,0.14,0.09
78,4,205,-187,-49.325842696629216,63.57138344278181,4041.3207928291927,80.46340503956937,18,16,54.16461590782186,62.1819363735363,179.49634130904775,11,20.16629257507193,21.610044967716476,50.498155286757196,1664.65,0.43,0.37,0.12,0.05
79,4,72,-64,-1.5561797752808988,31.99297133151853,1023.5502146193666,32.030796276589186,15,15,48.02627927547093,49.58379588081341,64.18244081560405,17,13.787765413023315,19.83702578057254,22.546764245882173,1258.33,0.21,0.11,0.19,0.37
80,4,153,-241,-54.92134831460674,67.9531769923275,4617.634263350587,87.3727003362317,14,17,69.0819456383218,97.6946274931909,143.46397082062012,13,27.71706467652446,39.39661005834334,44.82460344180217,3373.83,0.1,0.55,0.07,0.22
81,1,422,-431,-49.741573033707866,164.70296915041868,27127.06804696377,172.0502604904493,11,8,131.28735335834824,170.0155915639312,395.3226485127987,16,65.56895429220528,91.89127012550361,132.10588984714522,17328.53,0.08,0.1,0.73,0.06
82,1,1375,-624,6.033707865168539,409.7709952237973,167912.26852670131,409.81541473851786,15,13,889.8539224888739,1084.5496281246938,1196.789587099875,19,194.62510397187773,276.7824355417153,284.05169811709516,208576.65,0.1,0.36,0.42,0.06
83,2,11,-69,-24.10674157303371,17.827036012140642,317.80321297815937,29.982298148193895,4,13,5.81062258671094,7.80425862924015,8.941161289511767,6,3.8216507160451108,6.982460306672734,13.347791896247887,389.44,0.05,0.05,0.19,0.69
84,2,573,-443,64.46629213483146,172.13853673733823,29631.675830071945,183.81397839034275,7,13,307.5794182532655,361.1127707616085,478.9659918295098,15,48.854432526062254,60.41180396365053,155.83481533910268,39650.61,0.16,0.32,0.07,0.31
85,5,165,-130,25.370786516853933,56.09840511712219,3147.031056684761,61.5687247323553,13,15,83.5578734029689,105.29964683654056,160.85420838046878,11,21.709835472992502,22.241428601950783,52.4448265621287,3697.68,0.22,0.08,0.19,0.29
86,1,317,-575,-40.09550561797753,182.61304604694075,33347.5245865421,186.9630288514373,14,10,128.79100947518134,215.48391294263962,254.84917339099786,18,90.92868282822256,95.56033974823168,102.26769811604474,32182.34,0.08,0.39,0.16,0.41
87,4,130,-71,51.51123595505618,42.066058105553815,1769.5532445398298,66.50534320005652,3,20,106.50530097205748,112.51794798954498,122.11794894683086,11,9.206318485156709,11.821045306973362,18.315429089966074,1271.79,0.14,0.13,0.13,0.33
88,3,30,-136,-34.02247191011236,38.88631587626921,1512.1455624289865,51.66888964651138,10,12,10.087476113483099,18.995397440821037,25.803017988079198,14,8.335077566854968,11.892750606722862,27.6819473611626,1060.26,0.03,0.04,0.16,0.67
89,4,97,-185,-54.46067415730337,67.09393987600399,4501.596768084838,86.41505538824129,18,12,54.21062934563291,59.583427727165066,80.3591498948508,8,11.890649991793348,12.551601634516551,77.0409127987585,6348.6,0.88,0.06,0.0,0.0
90,2,54,-90,-4.370786516853933,30.289569540964045,917.4580229768968,30.603297171265858,15,12,39.55941496087979,50.648538169941006,40.53062280001254,7,12.28577274424268,28.045760836339696,18.14771541205687,1017.89,0.2,0.09,0.08,0.54
91,4,160,-210,-43.09550561797753,73.45209309339339,5395.209979800529,85.16121525829503,17,11,78.48273693099395,80.18276276880076,138.85093436853586,9,17.565126474592084,18.592178944329042,68.2515832096524,7637.6,0.84,0.13,0.02,0.01
92,3,209,-220,-18.696629213483146,83.1991525041081,6922.098977401838,85.27404600081032,2,13,61.652779298482145,120.16446796317756,201.016317926736,13,18.59141695506026,25.255379793468848,99.1894943211124,9355.14,0.04,0.02,0.05,0.83
93,5,71,-105,-8.814606741573034,36.20221624155633,1310.6004608004048,37.259867858179376,26,17,47.775472682814424,47.800835996151264,64.16488629653865,13,13.65913667201877,14.187863044694868,23.57090035559379,823.23,0.48,0.29,0.1,0.02
94,2,71,-28,24.50561797752809,24.081613852516178,579.9241257416991,34.357669277793676,6,13,58.28655418015665,64.4026509310697,68.13191794298555,11,10.833385163355816,12.968191070685444,20.323608176172677,684.32,0.14,0.12,0.51,0.22
95,3,48,-154,-8.359550561797754,34.13316525879957,1165.0729705845222,35.14192732591335,16,13,35.26202102886492,37.79701192591704,42.738872454368305,11,10.494606467027848,20.398050132144107,20.724538365184586,440.32,0.3,0.09,0.25,0.28
96,4,207,-226,-41.60112359550562,90.79618736041162,8243.94763918697,99.87292487754378,20,16,95.4352377361209,99.13646180834418,190.40006930722006,11,39.664318945784416,53.93055224776885,58.155720908302875,7738.8,0.22,0.47,0.04,0.26
97,3,81,-140,-33.96629213483146,51.38693259290649,2640.6168413079154,61.59809934321537,11,15,63.1804750075724,64.57805291797465,69.81361956215507,13,16.92781734945654,19.20217762790163,41.05816908612115,3036.27,0.22,0.12,0.06,0.44
98,5,98,-106,8.634831460674157,44.45495536419162,1976.2430564322692,45.28579656787012,20,17,79.67740577852037,83.2206961804087,86.39230330095575,11,16.099238078509792,27.63383546359153,25.83617262073981,2115.23,0.4,0.17,0.08,0.23
99,4,130,-143,-10.52247191011236,54.015728572476945,2917.698933215502,55.03109437685759,19,15,80.68676251949348,96.26541958112323,112.03169132312189,12,11.317523913648026,12.042246654787455,42.22175024421861,4175.68,0.77,0.15,0.03,0.03
100,1,928,-965,-25.264044943820224,515.3059121427352,265540.1830892564,515.9248540787503,14,8,703.1358835396748,852.2605863024228,755.2854457842092,17,87.41487240907753,628.1739787692363,231.7507355135984,280736.33,0.09,0.14,0.81,0.02
101,4,125,-34,49.19662921348315,34.20987093715313,1170.3152695366744,59.92181235164386,10,19,103.03905012088921,105.79147988469425,122.77315200549964,11,13.190416961333804,14.3881551773393,16.288339884609023,802.66,0.17,0.27,0.13,0.3
102,4,189,-159,8.196629213483146,64.6666524856048,4181.775943693977,65.1840522992956,27,17,103.03042506678959,115.49781305912252,169.2639284977185,14,25.451339645200104,43.624335951932,34.968752202918665,5039.58,0.05,0.63,0.08,0.18
103,2,573,-277,-51.2752808988764,174.50143283974305,30450.75006312335,181.87881815753593,4,11,35.46646591617558,154.0675277804194,554.5493328604111,17,35.31970058217764,43.27724432300807,192.53833298105496,45301.72,0.05,0.02,0.07,0.58
104,5,106,-114,11.724719101123595,43.506393126742005,1892.8062428986239,45.05857610820471,26,21,81.75949775207033,82.59491482956969,94.97330101814178,10,12.779686643994673,18.931650479070854,40.929262303634225,1764.85,0.15,0.24,0.25,0.19
105,1,784,-292,20.8876404494382,238.74971325130127,57001.425577578586,239.66167632962012,6,11,414.9278441082131,719.6461966063342,578.131187837727,14,64.02339157878677,67.39042647659562,288.4046442944835,57156.16,0.13,0.14,0.01,0.35
106,3,-32,-96,-65.09550561797752,13.582741942514208,184.49087867693464,66.49748664676792,0,14,-42.842788261146225,-39.40494841981422,-35.074087943292106,7,4.0375965122881725,5.221798596303296,9.763216351901724,151.13,0.22,0.12,0.29,0.24
107,4,120,-153,-41.51685393258427,49.50079158589638,2450.32836763035,64.60632730692782,8,15,67.82006212862807,75.3436243008819,110.36494110062384,15,9.9666763149411,12.281755601812497,34.56154892073732,1390.06,0.29,0.37,0.08,0.14
108,3,240,-228,32.949438202247194,114.26390075845616,13056.239016538317,118.91973971709669,8,10,185.83152027841038,197.92332871232043,231.5648712874617,9,6.288658501584947,10.774821441538226,101.27209919866132,18769.07,0.01,0.01,0.06,0.68
109,3,94,-76,13.898876404494382,41.77401615482794,1745.0684257038256,44.02552885555421,6,11,71.22050982210035,71.74031975010978,92.38194229304976,10,9.694163831006755,29.03019572716922,32.25639204722484,775.59,0.11,0.05,0.24,0.41
110,3,150,-93,29.89325842696629,60.567400097339444,3668.4099545511945,67.54270392820074,11,17,118.51961438528124,134.6669907987384,143.84921354928215,10,9.988551703187488,12.098204481863178,60.01601805218198,5717.53,0.02,0.02,0.04,0.78
111,4,12,-162,-84.08988764044943,40.422248976855876,1633.958212346926,93.3009507761327,5,18,-6.763838712407709,-0.9285554495685955,-5.16596285868906,13,15.834415585093426,21.342150068833504,22.03391428617932,1481.55,0.06,0.36,0.27,0.25
112,2,48,-68,-8.224719101123595,22.50231089705261,506.3539957076127,23.958297101421877,11,11,13.818379622542395,24.746985790613948,46.26759565884348,12,7.841117170589125,10.477814781684899,16.054150556076824,787.13,0.09,0.04,0.08,0.69
113,1,292,-297,14.348314606741573,158.76982145554177,25207.856205024615,159.41684458387277,14,9,246.7319381094441,259.14469454852144,277.93556317314625,11,32.280804700099914,40.521368546125395,191.67235090835683,25699.07,0.03,0.1,0.92,0.0
114,4,143,-195,11.685393258426966,62.16127908999119,3864.024618103776,63.25008327036309,28,18,110.81664612886402,121.06287859841993,136.09992514179936,17,24.927150292733625,25.637633017693833,33.857464156354006,2263.07,0.16,0.4,0.1,0.32
115,2,41,-57,-9.320224719101123,21.45792161299648,460.44239994950135,23.394635897231762,12,10,21.826299304657187,31.039827527013507,38.39685806403227,10,6.900812760356474,8.338808235230584,15.3268647285692,338.33,0.21,0.09,0.29,0.23
116,2,136,-90,-2.162921348314607,43.58333585786467,1899.507164499432,43.63697277834964,11,9,20.224880935731207,133.64287259211494,36.94173237860615,9,13.446675446310993,23.288176938550595,42.40473684216364,2447.53,0.01,0.01,0.15,0.71
